timestamp,ax,ay,az
4,0.013981389842232956,0.8518852963651868,0.013980023239560579
26,0.08312094585956943,0.8985716864166637,0.08283330304467769
48,0.15143059571192863,0.9366083407735091,0.1496842818170961
74,0.23055742941621796,0.9701165545079169,0.22434591705625406
97,0.30049037640785237,0.9897205477313563,0.2866031675799327
118,0.3630153642045189,0.9987153571731913,0.3382516008673817
139,0.4233965812395212,0.9991484547899988,0.3835737802377097
160,0.4824331042942606,0.9910346075301614,0.42257898805396826
182,0.5432256627089834,0.9729347203751706,0.456085058511907
204,0.5981156879012509,0.9470710381155009,0.479335757529304
225,0.6504445523013208,0.9128273486091214,0.4940475925487279
246,0.6998725613200507,0.8705337824703717,0.4998963894808193
268,0.7461254567237102,0.8206111461397867,0.4967743425646779
289,0.7890339344959959,0.7634666295897041,0.4847426943696033
310,0.8280236275401323,0.7002799923231999,0.46426722309338464
332,0.8644250958639632,0.6287810492521896,0.43459976766510494
353,0.8959186751335966,0.5537821708385418,0.3979832988620786
374,0.9230919187106231,0.4751467268728292,0.355002129890019
396,0.9479496843234134,0.38588340065794857,0.30184628672572494
417,0.9669493580649223,0.29878475073755817,0.246541632987233
438,0.9816809643745068,0.20930446320895277,0.18704174354072695
460,0.9922108337188281,0.11706086995524569,0.12359961016961377
486,0.9990845974487946,0.0023854360883866434,0.04273895601022892
507,0.9997162423951975,-0.09074957640642341,-0.023814128350581377
528,0.9959521916443208,-0.18250204462480746,-0.08952071251854964
549,0.9878412667688641,-0.27256776002617433,-0.15357558586408077
571,0.9747695187141524,-0.36410947021443946,-0.217581975371833
610,0.9400274491581445,-0.5182829605364832,-0.3206422396533138
631,0.9155704515745898,-0.5947408886693939,-0.36820363019535435
654,0.8848832919558023,-0.6712517857011588,-0.4121899591249597
675,0.8521890800794409,-0.7368642848138653,-0.44589426288235146
696,0.8161642588321547,-0.7956011999873116,-0.47159599687092674
716,0.7766436424829971,-0.8476758463049648,-0.4892390496342039
737,0.7334016760706368,-0.8930144089586567,-0.49856319129805404
759,0.6867041260557233,-0.9309162487000886,-0.49919065678450497
780,0.6359182793108307,-0.9613213498126146,-0.49077400238724045
801,0.583348805773984,-0.982725329192413,-0.4738085877529282
822,0.52819039355345,-0.9956586753593017,-0.4485001787870061
846,0.46453047041052364,-0.9999549259252234,-0.4113682732079302
867,0.4051926957589832,-0.9948253628692619,-0.37043984707816674
890,0.3367953509103912,-0.979076274821571,-0.3171190502684576
912,0.27287789446930344,-0.9556597266565487,-0.2625218170436756
933,0.20885211704053597,-0.9244219386691211,-0.20424635025165838
955,0.13926321169379674,-0.8822215484385973,-0.1379061474460978
976,0.07344803350473701,-0.8348584102116283,-0.07324965371619338
1007,-0.022554645572870912,-0.7535044925894727,0.02254890793323083
1027,-0.0872292811011165,-0.6908609488403802,0.08689678589937967
1055,-0.17353097445575574,-0.597817776692944,0.17089823399039178
1076,-0.23738014835714102,-0.5221929876213321,0.23059507214556313
1096,-0.29952006829584427,-0.4431326661197474,0.2857691020526866
1117,-0.36071950902935707,-0.3600305845637612,0.3364338321964266
1137,-0.4199960361328212,-0.2745659342961342,0.38115729699248646
1158,-0.47875281684673543,-0.1849574399865622,0.4203209095467017
1179,-0.5354651824232871,-0.09373594734028723,0.4522310304324963
1200,-0.5889209778952029,-0.0033432712980162394,0.47596041154553886
1221,-0.6418682099849129,0.09062485729710248,0.49219415335318145
1242,-0.6904426810858778,0.18098270985091447,0.49945733245613017
